"agency_type","total_count","count_adopting_nibrs","count_non_adopting","adoption_rate"
"City",297,85,212,28.6195286195286
"County",66,32,34,48.4848484848485
"State Police",67,0,67,0
"Tribal",2,2,0,100
"University or College",19,9,10,47.3684210526316
"Other State Agencies",307,5,302,1.62866449511401
