"agency_type","total_count","count_adopting_nibrs","count_non_adopting","adoption_rate"
"City",415,133,282,32.0481927710843
"County",56,34,22,60.7142857142857
"State Police",58,0,58,0
"Tribal",1,1,0,100
"University or College",30,14,16,46.6666666666667
"Other State Agencies",30,3,27,10
